"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1501","[Footer] Links navigation. Validate that User is able to navigate to social platforms using icons.","webkit","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","2320","Login with invalid credentials. Validate that User is unable to login using invalid credentials.","Microsoft Edge","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
"","1701","[Footer] Links navigation. Validate that User is able to navigate to social platforms using icons.","chromium","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","7078","[Side-Panel] Link: About. Validate that User is able to navigate to official website using About link.","webkit","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","1820","Login with valid credentials. Validate that User is able to login using valid credentials.","firefox","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
"","2148","[Side-Panel] Static Messages. Validate that User is able to see messages in Side-Panel component.","firefox","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","2150","[Side-Panel] Static Messages. Validate that User is able to see messages in Side-Panel component.","webkit","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","1407","Login with invalid credentials. Validate that User is unable to login using invalid credentials.","Google Chrome","2026-06-08","passed","2026-06-08","[LOGIN]","login.spec.ts","",""
"","6715","[Side-Panel] Panel Expand/Collapse. Validate that User is able to expand/collapse panel using icons.","chromium","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","3964","[Side-Panel] Panel Expand/Collapse. Validate that User is able to expand/collapse panel using icons.","Google Chrome","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","1804","[Footer] Static Messages. Validate that User is able to see messages in Footer component.","Microsoft Edge","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
"","4257","[Header] Navigate to Cart Page. Validate that User is able to navigate to Cart Page using Cart icon.","Google Chrome","2026-06-08","passed","2026-06-08","[COMPONENTS]","components.spec.ts","",""
